config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_25,0.3,0.001,128,1024,0.0,1,mlp,0.5133333333333333
config_25,0.3,0.001,128,1024,0.0,0,knn,0.9333333333333332
config_23,0.1,1e-05,128,256,0.0,3,knn,0.8
config_24,1.0,0.001,512,256,0.0,1,mlp,0.5914285714285714
config_24,1.0,0.001,512,256,0.0,3,knn,0.9
config_22,0.5,0.0001,128,256,0.0,4,mlp,0.7266666666666667
config_24,1.0,0.001,512,256,0.0,4,mlp,0.66
config_23,0.1,1e-05,128,256,0.0,4,knn,0.8333333333333333
config_24,1.0,0.001,512,256,0.0,4,knn,0.7266666666666667
config_25,0.3,0.001,128,1024,0.0,2,mlp,0.8047619047619048
config_23,0.1,1e-05,128,256,0.0,2,mlp,0.5
config_25,0.3,0.001,128,1024,0.0,3,knn,0.7666666666666667
config_25,0.3,0.001,128,1024,0.0,3,mlp,0.7333333333333333
config_25,0.3,0.001,128,1024,0.0,0,mlp,0.7333333333333333
config_25,0.3,0.001,128,1024,0.0,4,knn,0.72
config_25,0.3,0.001,128,1024,0.0,4,mlp,0.5599999999999999
config_26,0.5,0.001,128,1024,0.0,0,knn,0.9333333333333332
config_25,0.3,0.001,128,1024,0.0,1,knn,0.738095238095238
config_26,0.5,0.001,128,1024,0.0,0,mlp,0.638095238095238
config_26,0.5,0.001,128,1024,0.0,1,mlp,0.5133333333333333
config_26,0.5,0.001,128,1024,0.0,1,knn,0.7266666666666666
config_27,0.7,0.001,128,1024,0.0,0,knn,0.9047619047619048
config_27,0.7,0.001,128,1024,0.0,1,mlp,0.5247619047619048
config_26,0.5,0.001,128,1024,0.0,2,knn,0.8047619047619048
config_26,0.5,0.001,128,1024,0.0,4,knn,0.7533333333333333
config_26,0.5,0.001,128,1024,0.0,3,mlp,0.5
config_26,0.5,0.001,128,1024,0.0,2,mlp,0.7047619047619047
config_28,0.3,0.001,256,1024,0.0,3,mlp,0.6666666666666666
config_28,0.3,0.001,256,1024,0.0,2,mlp,0.8047619047619048
config_28,0.3,0.001,256,1024,0.0,4,mlp,0.4866666666666667
config_28,0.3,0.001,256,1024,0.0,2,knn,0.8047619047619048
config_27,0.7,0.001,128,1024,0.0,4,mlp,0.6533333333333333
config_27,0.7,0.001,128,1024,0.0,2,mlp,0.6166666666666666
config_29,0.5,0.001,256,1024,0.0,0,knn,0.9333333333333332
config_27,0.7,0.001,128,1024,0.0,3,knn,0.8333333333333333
config_27,0.7,0.001,128,1024,0.0,2,knn,0.8047619047619048
config_26,0.5,0.001,128,1024,0.0,4,mlp,0.7266666666666667
